latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.792065,-122.281296,17.0,-25200,America/Los_Angeles,PDT

time,temperature_2m (°F),relativehumidity_2m (%),precipitation_probability (%),precipitation (inch),rain (inch),showers (inch),snowfall (inch),snow_depth (ft),cloudcover (%),visibility (ft),windspeed_10m (mp/h),windspeed_80m (mp/h),winddirection_10m (°),winddirection_80m (°),temperature_80m (°F)
1681974000,47.1,76,0,0.000,0.000,0.000,0.000,0.000,0,65944.883,1.8,1.9,60,21,51.1
1681977600,46.6,73,0,0.000,0.000,0.000,0.000,0.000,0,70538.055,1.7,2.1,23,342,50.7
1681981200,45.5,71,0,0.000,0.000,0.000,0.000,0.000,0,76443.570,2.9,1.4,81,51,50.3
1681984800,44.3,71,0,0.000,0.000,0.000,0.000,0.000,0,75459.320,3.4,3.6,53,7,50.0
1681988400,44.3,71,0,0.000,0.000,0.000,0.000,0.000,0,73162.727,2.8,3.0,61,13,49.8
1681992000,43.4,73,0,0.000,0.000,0.000,0.000,0.000,0,69225.719,2.6,5.8,15,2,50.0
1681995600,42.7,75,0,0.000,0.000,0.000,0.000,0.000,0,64960.629,3.2,5.8,56,16,49.4
1681999200,42.8,77,0,0.000,0.000,0.000,0.000,0.000,0,63648.293,3.1,6.8,60,9,49.3
1682002800,48.7,83,0,0.000,0.000,0.000,0.000,0.000,1,59055.117,2.3,7.8,11,358,49.1
1682006400,53.4,68,0,0.000,0.000,0.000,0.000,0.000,2,83661.414,4.6,5.5,349,346,50.0
1682010000,57.2,53,0,0.000,0.000,0.000,0.000,0.000,2,122047.242,6.0,6.4,338,340,52.0
1682013600,59.5,54,0,0.000,0.000,0.000,0.000,0.000,2,117125.984,6.8,7.4,326,325,54.1
1682017200,62.8,42,0,0.000,0.000,0.000,0.000,0.000,0,154855.641,6.8,7.6,314,313,56.5
1682020800,65.0,43,0,0.000,0.000,0.000,0.000,0.000,6,147965.875,6.3,6.7,312,312,59.0
1682024400,66.4,39,0,0.000,0.000,0.000,0.000,0.000,9,162073.484,6.8,7.7,293,292,60.4
1682028000,67.5,40,0,0.000,0.000,0.000,0.000,0.000,3,160761.156,8.7,9.6,282,281,61.1
1682031600,65.9,45,0,0.000,0.000,0.000,0.000,0.000,0,141404.203,10.4,12.0,276,278,61.5
1682035200,63.0,41,0,0.000,0.000,0.000,0.000,0.000,0,148950.125,11.2,15.1,283,283,61.3
1682038800,62.4,46,0,0.000,0.000,0.000,0.000,0.000,0,134186.359,8.6,12.1,295,295,60.2
1682042400,61.0,49,0,0.000,0.000,0.000,0.000,0.000,0,124671.914,6.4,8.6,306,309,58.4
1682046000,57.8,57,0,0.000,0.000,0.000,0.000,0.000,0,105643.047,3.9,10.8,329,342,56.3
1682049600,55.4,61,0,0.000,0.000,0.000,0.000,0.000,0,97440.945,2.9,9.5,9,352,54.7
1682053200,53.7,65,0,0.000,0.000,0.000,0.000,0.000,0,91207.352,3.4,6.6,11,342,53.6
1682056800,52.4,68,0,0.000,0.000,0.000,0.000,0.000,0,83989.508,1.9,3.7,339,346,53.0
1682060400,51.2,73,0,0.000,0.000,0.000,0.000,0.000,0,75787.398,1.8,0.9,187,284,52.9
1682064000,50.0,81,0,0.000,0.000,0.000,0.000,0.000,0,59711.285,4.2,5.3,148,168,52.9
1682067600,49.0,86,0,0.000,0.000,0.000,0.000,0.000,0,51837.270,4.2,5.0,148,153,53.0
1682071200,48.3,86,0,0.000,0.000,0.000,0.000,0.000,3,51181.102,2.6,2.4,149,158,53.2
1682074800,47.5,86,0,0.000,0.000,0.000,0.000,0.000,2,50853.020,1.6,0.9,98,180,53.4
1682078400,47.1,82,0,0.000,0.000,0.000,0.000,0.000,0,55446.195,1.3,2.2,90,360,52.9
1682082000,46.8,81,0,0.000,0.000,0.000,0.000,0.000,1,56102.363,0.7,5.8,108,4,53.2
1682085600,46.8,85,0,0.000,0.000,0.000,0.000,0.000,12,52165.355,4.0,2.9,137,32,53.9
1682089200,51.8,88,0,0.000,0.000,0.000,0.000,0.000,19,49212.598,2.0,2.5,153,170,54.1
1682092800,57.4,76,0,0.000,0.000,0.000,0.000,0.000,1,68569.555,1.1,1.2,217,202,54.3
1682096400,62.0,66,0,0.000,0.000,0.000,0.000,0.000,1,87598.430,2.6,2.7,308,312,57.2
1682100000,65.9,57,0,0.000,0.000,0.000,0.000,0.000,46,109251.969,3.8,4.0,315,317,59.9
1682103600,69.7,45,0,0.000,0.000,0.000,0.000,0.000,74,138779.531,6.4,7.0,324,323,63.1
1682107200,73.5,38,0,0.000,0.000,0.000,0.000,0.000,99,163057.750,8.1,9.3,316,316,66.0
1682110800,74.9,40,0,0.000,0.000,0.000,0.000,0.000,91,152887.141,8.6,9.8,291,291,67.6
1682114400,74.0,45,0,0.000,0.000,0.000,0.000,0.000,84,132874.016,9.4,11.5,284,282,67.8
1682118000,74.5,47,0,0.000,0.000,0.000,0.000,0.000,100,126968.508,8.8,11.2,286,287,68.0
1682121600,74.3,47,0,0.000,0.000,0.000,0.000,0.000,100,128280.844,7.5,9.1,300,301,66.9
1682125200,72.2,50,0,0.000,0.000,0.000,0.000,0.000,100,119750.656,6.2,7.5,300,300,64.7
1682128800,68.5,56,0,0.000,0.000,0.000,0.000,0.000,100,104986.875,4.5,5.1,307,304,62.4
1682132400,64.2,63,0,0.000,0.000,0.000,0.000,0.000,61,88254.594,2.6,3.6,301,300,60.2
1682136000,61.0,70,0,0.000,0.000,0.000,0.000,0.000,91,76115.484,1.1,5.2,349,288,58.1
1682139600,58.9,74,0,0.000,0.000,0.000,0.000,0.000,54,68897.641,1.8,2.9,83,293,57.7
1682143200,57.6,78,0,0.000,0.000,0.000,0.000,0.000,91,64632.547,2.7,0.4,132,270,56.1
1682146800,55.9,82,0,0.000,0.000,0.000,0.000,0.000,100,58070.867,2.8,0.7,151,342,55.0
1682150400,54.5,87,0,0.000,0.000,0.000,0.000,0.000,100,50524.934,3.3,2.9,152,148,54.8
1682154000,53.3,90,0,0.000,0.000,0.000,0.000,0.000,98,46587.926,3.2,7.4,172,155,54.8
1682157600,52.4,90,0,0.000,0.000,0.000,0.000,0.000,100,46259.844,2.9,7.6,180,156,54.7
1682161200,51.5,89,0,0.000,0.000,0.000,0.000,0.000,100,46916.012,2.8,6.5,166,149,54.3
1682164800,50.9,88,0,0.000,0.000,0.000,0.000,0.000,100,47244.094,2.8,6.1,166,152,53.8
1682168400,50.4,87,0,0.000,0.000,0.000,0.000,0.000,99,47572.180,2.7,6.0,138,141,53.0
1682172000,50.2,90,0,0.000,0.000,0.000,0.000,0.000,100,45603.676,3.8,7.5,144,143,52.7
1682175600,54.4,87,0,0.000,0.000,0.000,0.000,0.000,100,50853.020,4.2,5.4,155,156,52.9
1682179200,58.1,81,0,0.000,0.000,0.000,0.000,0.000,100,60039.371,2.0,2.0,186,180,54.5
1682182800,62.4,66,0,0.000,0.000,0.000,0.000,0.000,85,87926.508,2.9,2.9,247,247,56.5
1682186400,66.8,54,0,0.000,0.000,0.000,0.000,0.000,1,114501.312,4.0,4.5,273,276,59.9
1682190000,70.3,49,0,0.000,0.000,0.000,0.000,0.000,8,79199.477,7.3,7.8,282,288,63.8
1682193600,72.1,46,0,0.000,0.000,0.000,0.000,0.000,14,79199.477,8.5,9.9,282,288,65.5
1682197200,72.1,46,0,0.000,0.000,0.000,0.000,0.000,0,79199.477,8.7,11.2,271,275,65.3
1682200800,68.7,50,0,0.000,0.000,0.000,0.000,0.000,0,79199.477,7.7,11.0,255,263,65.6
1682204400,67.2,52,0,0.000,0.000,0.000,0.000,0.000,0,79199.477,6.6,10.3,237,257,64.4
1682208000,64.9,59,0,0.000,0.000,0.000,0.000,0.000,0,79199.477,6.9,11.0,234,258,62.2
1682211600,61.8,66,0,0.000,0.000,0.000,0.000,0.000,0,79199.477,7.1,10.8,229,252,59.5
1682215200,58.1,74,0,0.000,0.000,0.000,0.000,0.000,5,79199.477,5.8,8.9,208,242,56.6
1682218800,53.7,86,0,0.000,0.000,0.000,0.000,0.000,48,79199.477,5.4,7.9,189,227,54.1
1682222400,52.8,89,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,5.6,7.3,175,207,53.0
1682226000,52.3,91,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,6.1,7.6,176,201,52.9
1682229600,51.2,95,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,6.1,7.5,174,203,52.9
1682233200,51.0,95,0,0.000,0.000,0.000,0.000,0.000,94,79199.477,5.7,6.9,171,201,52.5
1682236800,52.3,88,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,6.5,7.5,182,197,52.0
1682240400,51.9,88,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,6.1,7.3,186,207,51.8
1682244000,51.8,87,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,6.5,7.7,194,218,51.1
1682247600,51.8,88,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,5.9,7.1,187,215,50.9
1682251200,51.8,86,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,5.6,6.4,185,209,50.9
1682254800,51.8,90,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,5.4,6.7,178,200,51.1
1682258400,52.1,89,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,5.2,6.7,190,206,50.9
1682262000,52.8,85,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,5.8,6.9,180,193,52.5
1682265600,53.9,82,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,5.9,7.0,189,197,52.9
1682269200,55.2,80,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,5.4,6.3,178,186,53.6
1682272800,58.8,72,0,0.000,0.000,0.000,0.000,0.000,93,79199.477,4.7,4.6,197,203,56.8
1682276400,62.7,63,0,0.000,0.000,0.000,0.000,0.000,55,79199.477,5.3,5.0,202,212,59.2
1682280000,64.4,60,0,0.000,0.000,0.000,0.000,0.000,55,79199.477,7.4,8.9,226,242,59.0
1682283600,64.0,62,0,0.000,0.000,0.000,0.000,0.000,11,79199.477,7.9,10.5,238,253,60.1
1682287200,65.4,59,0,0.000,0.000,0.000,0.000,0.000,8,79199.477,7.5,10.3,231,250,61.0
1682290800,62.6,64,0,0.000,0.000,0.000,0.000,0.000,0,79199.477,8.0,12.0,234,255,59.7
1682294400,61.1,65,0,0.000,0.000,0.000,0.000,0.000,0,79199.477,7.3,10.6,225,249,57.9
1682298000,58.8,70,0,0.000,0.000,0.000,0.000,0.000,0,79199.477,6.9,9.7,216,238,56.1
1682301600,55.7,76,0,0.000,0.000,0.000,0.000,0.000,0,79199.477,6.6,8.5,198,225,53.6
1682305200,51.2,88,0,0.000,0.000,0.000,0.000,0.000,0,79199.477,6.0,8.5,180,207,51.1
1682308800,49.4,92,0,0.000,0.000,0.000,0.000,0.000,5,79199.477,6.7,8.8,165,186,50.3
1682312400,49.1,92,0,0.000,0.000,0.000,0.000,0.000,23,79199.477,8.0,10.7,169,182,50.2
1682316000,48.3,94,0,0.000,0.000,0.000,0.000,0.000,17,79199.477,6.9,9.2,167,183,50.0
1682319600,47.8,95,0,0.000,0.000,0.000,0.000,0.000,33,79199.477,6.5,8.4,172,191,49.6
1682323200,47.4,95,0,0.000,0.000,0.000,0.000,0.000,52,79199.477,6.3,8.6,176,190,49.4
1682326800,47.1,95,0,0.000,0.000,0.000,0.000,0.000,46,79199.477,6.3,8.4,174,189,49.1
1682330400,46.7,94,0,0.000,0.000,0.000,0.000,0.000,56,79199.477,5.1,7.0,178,197,48.9
1682334000,46.7,94,0,0.000,0.000,0.000,0.000,0.000,67,79199.477,6.3,8.1,163,182,48.7
1682337600,46.2,95,0,0.000,0.000,0.000,0.000,0.000,63,79199.477,6.1,7.6,163,178,48.5
1682341200,45.8,96,0,0.000,0.000,0.000,0.000,0.000,49,79199.477,6.7,9.2,166,179,48.5
1682344800,46.4,94,0,0.000,0.000,0.000,0.000,0.000,32,79199.477,5.0,6.3,162,178,48.5
1682348400,50.0,83,0,0.000,0.000,0.000,0.000,0.000,40,79199.477,6.8,8.6,169,173,48.9
1682352000,53.4,72,0,0.000,0.000,0.000,0.000,0.000,22,79199.477,5.1,6.0,178,178,49.6
1682355600,57.5,61,0,0.000,0.000,0.000,0.000,0.000,8,79199.477,4.5,4.7,189,188,50.3
1682359200,60.9,52,0,0.000,0.000,0.000,0.000,0.000,11,79199.477,4.9,5.4,223,232,52.0
1682362800,65.1,43,0,0.000,0.000,0.000,0.000,0.000,6,79199.477,4.7,5.0,235,249,53.6
1682366400,65.3,43,0,0.000,0.000,0.000,0.000,0.000,44,79199.477,7.7,9.9,248,257,55.7
1682370000,62.7,50,0,0.000,0.000,0.000,0.000,0.000,19,79199.477,8.3,11.2,246,257,57.5
1682373600,63.1,50,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,7.4,10.0,237,254,57.9
1682377200,61.3,54,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,6.7,9.1,230,245,57.5
1682380800,59.0,59,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,5.9,8.0,220,240,56.5
1682384400,56.6,64,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,5.8,8.1,212,231,55.0
1682388000,54.3,69,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,5.2,7.5,200,219,52.9
1682391600,51.0,79,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,5.8,8.1,182,204,50.7
1682395200,49.8,82,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,6.6,8.3,170,194,49.8
1682398800,49.4,84,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,6.0,8.6,182,200,49.4
1682402400,48.3,87,0,0.000,0.000,0.000,0.000,0.000,72,79199.477,6.0,8.1,178,194,49.1
1682406000,47.6,90,0,0.000,0.000,0.000,0.000,0.000,15,79199.477,6.6,8.3,170,185,48.9
1682409600,47.4,91,0,0.000,0.000,0.000,0.000,0.000,17,79199.477,7.3,9.4,169,179,48.9
1682413200,46.9,93,0,0.000,0.000,0.000,0.000,0.000,45,79199.477,6.6,8.3,162,177,48.9
1682416800,46.5,95,0,0.000,0.000,0.000,0.000,0.000,20,79199.477,6.9,9.4,151,162,48.9
1682420400,46.4,95,0,0.000,0.000,0.000,0.000,0.000,55,79199.477,6.3,8.2,157,167,48.9
1682424000,46.0,96,0,0.000,0.000,0.000,0.000,0.000,22,79199.477,5.8,7.0,157,173,48.9
1682427600,45.8,96,0,0.000,0.000,0.000,0.000,0.000,22,79199.477,5.7,6.5,149,164,48.9
1682431200,46.9,94,0,0.000,0.000,0.000,0.000,0.000,28,79199.477,5.1,5.9,157,171,49.1
1682434800,51.0,82,0,0.000,0.000,0.000,0.000,0.000,51,79199.477,4.3,4.5,171,174,49.8
1682438400,55.7,69,0,0.000,0.000,0.000,0.000,0.000,76,79199.477,3.7,3.3,194,196,51.4
1682442000,60.6,58,0,0.000,0.000,0.000,0.000,0.000,85,79199.477,3.5,2.5,207,207,53.4
1682445600,65.3,50,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,3.5,2.1,225,229,55.6
1682449200,68.0,45,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,4.2,3.4,252,266,56.3
1682452800,69.8,43,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,6.0,5.9,268,279,58.8
1682456400,70.5,42,0,0.000,0.000,0.000,0.000,0.000,98,79199.477,8.1,8.7,278,283,61.3
1682460000,68.9,44,0,0.000,0.000,0.000,0.000,0.000,98,79199.477,8.9,10.1,282,283,62.0
1682463600,66.0,47,0,0.000,0.000,0.000,0.000,0.000,99,79199.477,9.0,11.2,283,282,62.0
1682467200,61.7,54,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,8.6,11.6,285,280,61.1
1682470800,58.2,63,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,7.6,10.6,284,278,59.9
1682474400,54.5,73,0,0.000,0.000,0.000,0.000,0.000,99,79199.477,6.2,9.2,283,276,57.9
1682478000,50.8,85,0,0.000,0.000,0.000,0.000,0.000,99,79199.477,4.5,7.2,276,270,55.7
1682481600,49.5,89,0,0.000,0.000,0.000,0.000,0.000,99,79199.477,3.6,6.3,270,266,54.7
1682485200,49.1,91,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,3.2,5.4,262,261,53.8
1682488800,48.7,92,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,2.6,4.7,250,253,52.7
1682492400,48.3,93,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,2.5,4.5,243,250,52.0
1682496000,48.0,94,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,2.4,4.5,248,252,51.4
1682499600,47.6,95,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,2.4,4.5,248,252,50.9
1682503200,47.2,96,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,2.3,4.4,253,255,50.5
1682506800,46.6,97,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,2.3,4.1,259,257,50.5
1682510400,46.7,96,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,2.1,3.9,257,257,50.3
1682514000,47.4,94,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,1.9,3.3,249,250,50.2
1682517600,48.6,92,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,2.1,2.9,229,238,50.0
1682521200,51.4,85,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,2.2,2.5,217,225,50.3
1682524800,55.2,75,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,2.4,2.2,221,225,51.4
1682528400,59.9,63,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,2.6,1.9,232,234,53.0
1682532000,65.3,50,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,3.1,2.2,249,264,55.7
1682535600,67.8,45,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,4.3,3.6,264,281,58.4
1682539200,69.5,43,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,5.9,5.6,277,286,61.3
1682542800,70.3,43,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,7.6,7.9,284,290,64.0
1682546400,69.6,44,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,7.8,8.5,288,293,63.8
1682550000,68.0,46,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,7.3,8.7,293,296,62.8
1682553600,64.9,51,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,6.7,8.7,300,299,60.8
1682557200,61.8,57,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,6.1,8.6,303,298,59.5
1682560800,58.2,65,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,5.6,8.3,307,297,58.3
1682564400,54.3,74,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,4.9,7.6,309,294,56.5
1682568000,52.7,79,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,4.5,7.0,307,292,55.2
1682571600,51.7,83,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,4.2,6.4,302,288,54.1
1682575200,50.9,88,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,3.9,5.5,294,284,52.9
1682578800,50.4,90,1,0.000,0.000,0.000,0.000,0.000,100,79199.477,3.4,4.8,293,283,52.1
1682582400,50.2,92,2,0.000,0.000,0.000,0.000,0.000,100,79199.477,2.9,4.0,302,286,51.6
1682586000,50.0,93,3,0.000,0.000,0.000,0.000,0.000,100,79199.477,2.6,3.3,308,290,51.1
1682589600,49.3,95,3,0.000,0.000,0.000,0.000,0.000,100,79199.477,2.9,3.6,309,292,50.7
1682593200,48.6,96,3,0.000,0.000,0.000,0.000,0.000,100,79199.477,3.2,4.1,309,292,50.5
1682596800,48.7,96,3,0.000,0.000,0.000,0.000,0.000,100,79199.477,3.5,4.6,305,293,50.3
1682600400,49.9,93,4,0.000,0.000,0.000,0.000,0.000,95,79199.477,3.2,4.1,304,292,50.2
1682604000,51.8,88,5,0.000,0.000,0.000,0.000,0.000,88,79199.477,2.6,3.2,301,295,50.2
1682607600,55.4,79,6,0.000,0.000,0.000,0.000,0.000,73,79199.477,2.2,2.4,294,292,50.7
1682611200,59.5,70,4,0.000,0.000,0.000,0.000,0.000,55,79199.477,2.6,2.4,285,292,52.0
1682614800,64.5,59,2,0.000,0.000,0.000,0.000,0.000,34,79199.477,3.1,2.4,274,292,53.9
1682618400,69.9,48,0,0.000,0.000,0.000,0.000,0.000,12,79199.477,4.5,3.5,273,288,56.3
1682622000,72.2,44,0,0.000,0.000,0.000,0.000,0.000,6,79199.477,5.9,5.4,277,289,57.7
1682625600,73.4,43,0,0.000,0.000,0.000,0.000,0.000,7,79199.477,7.5,8.1,282,291,59.0
1682629200,73.4,43,0,0.000,0.000,0.000,0.000,0.000,8,79199.477,9.6,11.0,286,290,60.1
1682632800,71.5,45,0,0.000,0.000,0.000,0.000,0.000,7,79199.477,10.3,12.5,288,289,59.9
1682636400,68.3,48,0,0.000,0.000,0.000,0.000,0.000,6,79199.477,10.7,13.7,290,286,59.3
1682640000,63.8,54,0,0.000,0.000,0.000,0.000,0.000,8,79199.477,10.3,14.1,292,285,58.6
1682643600,60.5,62,0,0.000,0.000,0.000,0.000,0.000,14,79199.477,9.0,12.7,293,284,NaN
1682647200,57.0,72,0,0.000,0.000,0.000,0.000,0.000,23,79199.477,6.8,10.2,297,285,NaN
1682650800,53.4,83,0,0.000,0.000,0.000,0.000,0.000,30,79199.477,4.7,7.3,305,288,NaN
1682654400,52.1,87,1,0.000,0.000,0.000,0.000,0.000,28,79199.477,4.2,6.4,306,288,NaN
1682658000,51.8,88,2,0.000,0.000,0.000,0.000,0.000,22,79199.477,4.0,5.9,304,290,NaN
1682661600,51.4,90,3,0.000,0.000,0.000,0.000,0.000,14,79199.477,3.9,5.7,301,288,NaN
1682665200,50.9,92,3,0.000,0.000,0.000,0.000,0.000,11,79199.477,3.6,5.6,300,286,NaN
1682668800,50.5,93,3,0.000,0.000,0.000,0.000,0.000,9,79199.477,3.6,5.5,300,284,NaN
1682672400,50.0,95,3,0.000,0.000,0.000,0.000,0.000,8,79199.477,3.3,5.5,298,282,NaN
1682676000,49.4,96,3,0.000,0.000,0.000,0.000,0.000,7,79199.477,2.9,5.2,293,280,NaN
1682679600,48.8,97,3,0.000,0.000,0.000,0.000,0.000,7,79199.477,2.6,4.7,285,278,NaN
1682683200,48.9,96,3,0.000,0.000,0.000,0.000,0.000,9,79199.477,2.2,4.3,276,273,NaN
